Issue Type,Summary,Description,Epic Name,Epic Link,Story Points,Acceptance Criteria,Sprint
Epic,Company Authentication & Authorization,Implement secure company login and access control system,Authentication,,,,"Sprint 1, Sprint 6"
Story,Company Registration,"As a company admin, I want to register my company account so that I can access the gift card marketplace",,Authentication,8,"- Given I am on the registration page, when I submit valid company details, then my account is created successfully
- Given I submit the registration form, when the email already exists, then I see an error message
- Given I create an account, when registration is successful, then I receive a verification email
- Given I receive a verification email, when I click the verification link, then my account is activated
- Given I try to log in, when my account is not verified, then I see Please verify your email first
- Given I enter company details, when any required field is missing, then I see appropriate validation errors
- Given I enter a password, when it doesn't meet security requirements, then I see password strength requirements
- Given I complete registration, when successful, then I am redirected to the login page with a success message",Sprint 6
Story,Company Login,"As a company user, I want to log in with my credentials so that I can access the platform",,Authentication,8,"- Given I am on the login page, when I enter valid credentials, then I am logged in and redirected to the dashboard
- Given I enter credentials, when they are invalid, then I see Invalid email or password
- Given I check Remember Me, when I close and reopen the browser, then I am still logged in
- Given I click Forgot Password, when I enter my email, then I receive a password reset link
- Given I receive a reset link, when I click it and enter a new password, then my password is updated
- Given I attempt login, when I fail 5 times, then my account is temporarily locked for 15 minutes
- Given I log in successfully, when I receive a JWT token, then it expires after 24 hours
- Given I am logged in, when my token expires, then I am redirected to login with a Session expired message
- Given I log in, when successful, then my session is tracked in the database",Sprint 1
Story,Role-Based Access Control,"As a company admin, I want to manage user roles and permissions within my organization",,Authentication,8,"- Given I am a company admin, when I access user management, then I can view all users in my organization
- Given I am a company admin, when I invite a new user, then they receive an invitation email
- Given I invite a user, when I assign them a role, then they have appropriate permissions
- Given I am an Admin, when I try to access admin features, then I have full access
- Given I am a Manager, when I try to access order history and placement, then I have access
- Given I am a User, when I try to access user management, then I see Access denied
- Given I am a company admin, when I deactivate a user, then they cannot log in
- Given a user is deactivated, when they try to log in, then they see Account has been deactivated",Sprint 1
Epic,Gift Card Marketplace,Integrate with Resal API to display filter and search gift cards,Marketplace,,,,"Sprint 1, Sprint 2"
Story,Resal API Integration,"As a developer, I want to integrate with Resal API so that we can fetch available gift cards",,Marketplace,13,"- Given the system starts, when it connects to Resal API, then authentication is successful
- Given I request gift cards, when the API call succeeds, then I receive a list of available gift cards
- Given I request gift cards, when Resal API is down, then the system retries 3 times with exponential backoff
- Given I fetch gift cards, when data is received, then it is transformed to our internal format
- Given gift card data is fetched, when it's less than 1 hour old, then cached data is returned
- Given the Resal API returns an error, when it occurs, then it is logged and a user-friendly message is shown
- Given I request gift card details, when the API call succeeds, then all relevant fields are mapped correctly",Sprint 1
Story,Gift Card Listing Page,"As a company user, I want to view available gift cards so that I can browse options",,Marketplace,8,"- Given I navigate to the marketplace, when the page loads, then I see a grid of gift cards
- Given gift cards are displayed, when I view a card, then I see image brand name price and Add to Cart button
- Given there are more than 20 gift cards, when I scroll to the bottom, then the next page loads automatically
- Given the page is loading, when gift cards are being fetched, then I see a loading skeleton
- Given the API fails, when an error occurs, then I see Unable to load gift cards
- Given I am on mobile, when I view the listing, then the layout is responsive
- Given there are no gift cards available, when the page loads, then I see No gift cards available",Sprint 2
Story,Gift Card Filtering,"As a company user, I want to filter gift cards by category price range and brand",,Marketplace,8,"- Given I am on the marketplace, when I click Filters, then a filter panel opens
- Given the filter panel is open, when I select a category, then only gift cards in that category are shown
- Given I set a price range, when I apply it, then only gift cards within that range are shown
- Given I select multiple brands, when I apply the filter, then only gift cards from those brands are shown
- Given I apply multiple filters, when I click Clear All, then all filters are removed
- Given I apply filters, when I navigate away and come back, then my filters are preserved
- Given I apply filters, when no results match, then I see No gift cards match your criteria
- Given I select filters, when I apply them, then the gift card count updates in real-time",Sprint 2
Story,Gift Card Search,"As a company user, I want to search for specific gift cards by name or brand",,Marketplace,5,"- Given I am on the marketplace, when I type in the search box, then results update after 500ms
- Given I type a search term, when matches are found, then only matching gift cards are displayed
- Given I search for a brand name, when I type Ama, then I see suggestions like Amazon
- Given I search for a term, when the search term is highlighted, then it appears in bold
- Given I search for a term, when no results match, then I see No results found
- Given I type a search, when I clear it, then all gift cards are shown again
- Given I have filters applied, when I search, then search works within the filtered results",Sprint 2
Story,Gift Card Details View,"As a company user, I want to view detailed information about a gift card",,Marketplace,5,"- Given I click on a gift card, when the detail view opens, then I see full description terms and pricing
- Given I view gift card details, when the card is out of stock, then the Add to Cart button is disabled
- Given I view details, when I click Add to Cart, then the item is added and I see a success message
- Given I am on the detail view, when I click Close, then it closes and I return to the listing
- Given I view details, when there are multiple denominations available, then I can select the amount",Sprint 2
Epic,Shopping Cart Management,Enable users to add and manage gift cards in their shopping cart,Shopping Cart,,,,Sprint 2-3
Story,Add to Cart Functionality,"As a company user, I want to add gift cards to my cart so that I can purchase multiple items",,Shopping Cart,8,"- Given I am viewing a gift card, when I click Add to Cart, then the item is added to my cart
- Given I add an item to cart, when successful, then I see a success notification
- Given I add an item, when it's already in my cart, then the quantity increases by 1
- Given I add an item, when I select a quantity, then that quantity is added to the cart
- Given I add an item to cart, when successful, then the cart icon shows the updated item count
- Given I am not logged in, when I add items to cart, then they are saved in local storage
- Given I log in, when I had items in local storage, then they are merged with my server-side cart",Sprint 2
Story,View Shopping Cart,"As a company user, I want to view my cart contents so that I can review my selections",,Shopping Cart,5,"- Given I click the cart icon, when the cart page loads, then I see all items I added
- Given I view my cart, when it has items, then I see item details and subtotals
- Given I view my cart, when it has items, then I see the total cost at the bottom
- Given my cart is empty, when I view it, then I see Your cart is empty
- Given I view my cart, when items are shown, then I see Proceed to Checkout button
- Given I have cart items, when I close the browser and reopen, then my cart items persist",Sprint 3
Story,Update Cart Items,"As a company user, I want to modify quantities or remove items from my cart",,Shopping Cart,5,"- Given I view my cart, when I increase quantity, then the subtotal and total update immediately
- Given I view my cart, when I decrease quantity to 0, then the item is removed
- Given I view my cart, when I click Remove on an item, then it is removed with a confirmation
- Given I view my cart, when I click Clear Cart, then I see a confirmation dialog
- Given I confirm clear cart, when confirmed, then all items are removed
- Given I update quantities, when I navigate away and return, then the quantities are preserved
- Given I change quantities, when I update, then the cart icon count updates",Sprint 3
